# host=omarchy-power9 kernel=7.2.6-64k date=2026-09-16T19:35:40-06:00 cpu=88 node=0 runs=5 reps=3
# emulator=/home/jbettcher/Development/POWERarm-wt/bench/build-bench/Bin/POWERarm commit=41e9380c03cf42999429a49c9f95ff3e570e201d
# smt: on load: 2.48 7.40 8.35 2/2576 4001626
# cpufreq cpu88 before: governor=ondemand cur=2333000 max=3800000
host,config,bench,run,rep,scale,ns,wall_ns,sum,parity,node_busy_pct
power9,native-power8,vm,2,0,150000,454443094,1372287065,0000814e78cfc084,,1
power9,native-power8,vm,2,1,150000,453889569,1372287065,0000814e78cfc084,,1
power9,native-power8,vm,2,2,150000,453888849,1372287065,0000814e78cfc084,,1
power9,native-power8,vm,2,summary,150000,1362221512,1372287065,0000814e78cfc084,ok,1
power9,native-power9,vm,2,0,150000,454591692,1374629372,0000814e78cfc084,,1
power9,native-power9,vm,2,1,150000,454338156,1374629372,0000814e78cfc084,,1
power9,native-power9,vm,2,2,150000,454252189,1374629372,0000814e78cfc084,,1
power9,native-power9,vm,2,summary,150000,1363182037,1374629372,0000814e78cfc084,ok,1
power9,powerarm,vm,2,0,150000,3310283853,9965519340,0000814e78cfc084,,1
power9,powerarm,vm,2,1,150000,3308029796,9965519340,0000814e78cfc084,,1
power9,powerarm,vm,2,2,150000,3310217886,9965519340,0000814e78cfc084,,1
power9,powerarm,vm,2,summary,150000,9928531535,9965519340,0000814e78cfc084,ok,1
power9,powerarm-startup,vm,2,0,1,468081,32741966,000000003850006f,,1
power9,powerarm-startup,vm,2,summary,1,468081,32741966,000000003850006f,ok,1
power9,native-power9-startup,vm,2,0,1,4701,6899159,000000003850006f,,1
power9,native-power9-startup,vm,2,summary,1,4701,6899159,000000003850006f,ok,1
power9,native-power8,sort,2,0,2500000,348882608,1065797259,f05bf4351ec0e785,,1
power9,native-power8,sort,2,1,2500000,348460527,1065797259,f05bf4351ec0e785,,1
power9,native-power8,sort,2,2,2500000,348554143,1065797259,f05bf4351ec0e785,,1
power9,native-power8,sort,2,summary,2500000,1045897278,1065797259,f05bf4351ec0e785,ok,1
power9,native-power9,sort,2,0,2500000,347819843,1058800461,f05bf4351ec0e785,,1
power9,native-power9,sort,2,1,2500000,347494012,1058800461,f05bf4351ec0e785,,1
power9,native-power9,sort,2,2,2500000,347421684,1058800461,f05bf4351ec0e785,,1
power9,native-power9,sort,2,summary,2500000,1042735539,1058800461,f05bf4351ec0e785,ok,1
power9,powerarm,sort,2,0,2500000,1063908871,3264606380,f05bf4351ec0e785,,1
power9,powerarm,sort,2,1,2500000,1061579284,3264606380,f05bf4351ec0e785,,1
power9,powerarm,sort,2,2,2500000,1061723577,3264606380,f05bf4351ec0e785,,1
power9,powerarm,sort,2,summary,2500000,3187211732,3264606380,f05bf4351ec0e785,ok,1
power9,powerarm-startup,sort,2,0,1,244560,30432898,83b3e216f6caa906,,1
power9,powerarm-startup,sort,2,summary,1,244560,30432898,83b3e216f6caa906,ok,1
power9,native-power9-startup,sort,2,0,1,122574,6039335,83b3e216f6caa906,,1
power9,native-power9-startup,sort,2,summary,1,122574,6039335,83b3e216f6caa906,ok,1
power9,native-power8,crc32,3,0,64,177852914,545194593,323d083d79762f78,,2
power9,native-power8,crc32,3,1,64,177813594,545194593,323d083d79762f78,,2
power9,native-power8,crc32,3,2,64,177830087,545194593,323d083d79762f78,,2
power9,native-power8,crc32,3,summary,64,533496595,545194593,323d083d79762f78,ok,2
power9,native-power9,crc32,3,0,64,177840522,544424467,323d083d79762f78,,1
power9,native-power9,crc32,3,1,64,177852183,544424467,323d083d79762f78,,1
power9,native-power9,crc32,3,2,64,177824625,544424467,323d083d79762f78,,1
power9,native-power9,crc32,3,summary,64,533517330,544424467,323d083d79762f78,ok,1
power9,powerarm,crc32,3,0,64,1448578197,4397592620,323d083d79762f78,,1
power9,powerarm,crc32,3,1,64,1448437938,4397592620,323d083d79762f78,,1
power9,powerarm,crc32,3,2,64,1448194369,4397592620,323d083d79762f78,,1
power9,powerarm,crc32,3,summary,64,4345210504,4397592620,323d083d79762f78,ok,1
power9,powerarm-startup,crc32,3,0,1,22709081,75517417,00000000c4994742,,1
power9,powerarm-startup,crc32,3,summary,1,22709081,75517417,00000000c4994742,ok,1
power9,native-power9-startup,crc32,3,0,1,2784836,11992300,00000000c4994742,,1
power9,native-power9-startup,crc32,3,summary,1,2784836,11992300,00000000c4994742,ok,1
power9,native-power8,sha256,3,0,48,357167806,1087940483,4238e6322fef7301,,1
power9,native-power8,sha256,3,1,48,357140623,1087940483,4238e6322fef7301,,1
power9,native-power8,sha256,3,2,48,357104976,1087940483,4238e6322fef7301,,1
power9,native-power8,sha256,3,summary,48,1071413405,1087940483,4238e6322fef7301,ok,1
power9,native-power9,sha256,3,0,48,361947161,1094239479,4238e6322fef7301,,1
power9,native-power9,sha256,3,1,48,361956820,1094239479,4238e6322fef7301,,1
power9,native-power9,sha256,3,2,48,361925423,1094239479,4238e6322fef7301,,1
power9,native-power9,sha256,3,summary,48,1085829404,1094239479,4238e6322fef7301,ok,1
power9,powerarm,sha256,3,0,48,1484475888,4506702514,4238e6322fef7301,,1
power9,powerarm,sha256,3,1,48,1484534088,4506702514,4238e6322fef7301,,1
power9,powerarm,sha256,3,2,48,1484309572,4506702514,4238e6322fef7301,,1
power9,powerarm,sha256,3,summary,48,4453319548,4506702514,4238e6322fef7301,ok,1
power9,powerarm-startup,sha256,3,0,1,31446568,84262017,7169e8403478a163,,1
power9,powerarm-startup,sha256,3,summary,1,31446568,84262017,7169e8403478a163,ok,1
power9,native-power9-startup,sha256,3,0,1,7549619,18085822,7169e8403478a163,,1
power9,native-power9-startup,sha256,3,summary,1,7549619,18085822,7169e8403478a163,ok,1
power9,native-power8,bst,3,0,400000,136734115,417129394,0ded589ff2a3247b,,1
power9,native-power8,bst,3,1,400000,136460324,417129394,0ded589ff2a3247b,,1
power9,native-power8,bst,3,2,400000,136066651,417129394,0ded589ff2a3247b,,1
power9,native-power8,bst,3,summary,400000,409261090,417129394,0ded589ff2a3247b,ok,1
power9,native-power9,bst,3,0,400000,137137271,416433763,0ded589ff2a3247b,,1
power9,native-power9,bst,3,1,400000,136177936,416433763,0ded589ff2a3247b,,1
power9,native-power9,bst,3,2,400000,136271838,416433763,0ded589ff2a3247b,,1
power9,native-power9,bst,3,summary,400000,409587045,416433763,0ded589ff2a3247b,ok,1
power9,powerarm,bst,3,0,400000,543934697,1663810351,0ded589ff2a3247b,,1
power9,powerarm,bst,3,1,400000,541392741,1663810351,0ded589ff2a3247b,,1
power9,powerarm,bst,3,2,400000,542928678,1663810351,0ded589ff2a3247b,,1
power9,powerarm,bst,3,summary,400000,1628256116,1663810351,0ded589ff2a3247b,ok,1
power9,powerarm-startup,bst,3,0,1,248557,34088760,266a770512af4d68,,1
power9,powerarm-startup,bst,3,summary,1,248557,34088760,266a770512af4d68,ok,1
power9,native-power9-startup,bst,3,0,1,10861,5662099,266a770512af4d68,,1
power9,native-power9-startup,bst,3,summary,1,10861,5662099,266a770512af4d68,ok,1
power9,native-power8,vm,3,0,150000,455544582,1374617746,0000814e78cfc084,,1
power9,native-power8,vm,3,1,150000,456872186,1374617746,0000814e78cfc084,,1
power9,native-power8,vm,3,2,150000,454631883,1374617746,0000814e78cfc084,,1
power9,native-power8,vm,3,summary,150000,1367048651,1374617746,0000814e78cfc084,ok,1
power9,native-power9,vm,3,0,150000,454150514,1373166005,0000814e78cfc084,,1
power9,native-power9,vm,3,1,150000,454341065,1373166005,0000814e78cfc084,,1
power9,native-power9,vm,3,2,150000,454324393,1373166005,0000814e78cfc084,,1
power9,native-power9,vm,3,summary,150000,1362815972,1373166005,0000814e78cfc084,ok,1
power9,powerarm,vm,3,0,150000,3310026848,9960774136,0000814e78cfc084,,1
power9,powerarm,vm,3,1,150000,3307039413,9960774136,0000814e78cfc084,,1
power9,powerarm,vm,3,2,150000,3308926190,9960774136,0000814e78cfc084,,1
power9,powerarm,vm,3,summary,150000,9925992451,9960774136,0000814e78cfc084,ok,1
power9,powerarm-startup,vm,3,0,1,455768,32250273,000000003850006f,,1
power9,powerarm-startup,vm,3,summary,1,455768,32250273,000000003850006f,ok,1
power9,native-power9-startup,vm,3,0,1,4742,6760920,000000003850006f,,1
power9,native-power9-startup,vm,3,summary,1,4742,6760920,000000003850006f,ok,1
power9,native-power8,sort,3,0,2500000,348992823,1062809436,f05bf4351ec0e785,,1
power9,native-power8,sort,3,1,2500000,348807030,1062809436,f05bf4351ec0e785,,1
power9,native-power8,sort,3,2,2500000,348748167,1062809436,f05bf4351ec0e785,,1
power9,native-power8,sort,3,summary,2500000,1046548020,1062809436,f05bf4351ec0e785,ok,1
power9,native-power9,sort,3,0,2500000,347693014,1061301022,f05bf4351ec0e785,,1
power9,native-power9,sort,3,1,2500000,347472730,1061301022,f05bf4351ec0e785,,1
power9,native-power9,sort,3,2,2500000,347631887,1061301022,f05bf4351ec0e785,,1
power9,native-power9,sort,3,summary,2500000,1042797631,1061301022,f05bf4351ec0e785,ok,1
power9,powerarm,sort,3,0,2500000,1064222548,3270218903,f05bf4351ec0e785,,1
power9,powerarm,sort,3,1,2500000,1062603716,3270218903,f05bf4351ec0e785,,1
power9,powerarm,sort,3,2,2500000,1062236343,3270218903,f05bf4351ec0e785,,1
power9,powerarm,sort,3,summary,2500000,3189062607,3270218903,f05bf4351ec0e785,ok,1
power9,powerarm-startup,sort,3,0,1,230994,36001917,83b3e216f6caa906,,1
power9,powerarm-startup,sort,3,summary,1,230994,36001917,83b3e216f6caa906,ok,1
power9,native-power9-startup,sort,3,0,1,121975,6024733,83b3e216f6caa906,,1
power9,native-power9-startup,sort,3,summary,1,121975,6024733,83b3e216f6caa906,ok,1
power9,native-power8,crc32,4,0,64,178041719,547443041,323d083d79762f78,,1
power9,native-power8,crc32,4,1,64,178107504,547443041,323d083d79762f78,,1
power9,native-power8,crc32,4,2,64,178178126,547443041,323d083d79762f78,,1
power9,native-power8,crc32,4,summary,64,534327349,547443041,323d083d79762f78,ok,1
power9,native-power9,crc32,4,0,64,178033689,546582183,323d083d79762f78,,1
power9,native-power9,crc32,4,1,64,178034763,546582183,323d083d79762f78,,1
power9,native-power9,crc32,4,2,64,178034688,546582183,323d083d79762f78,,1
power9,native-power9,crc32,4,summary,64,534103140,546582183,323d083d79762f78,ok,1
power9,powerarm,crc32,4,0,64,1448286585,4404095437,323d083d79762f78,,1
