# host=omarchy-power9 cpu=120 iters=4000000 date=2026-09-16T21:06:29-06:00 load=2.96 5.04 5.91 freq=3800000
F_mfcr_rt,pm_flush_mpred:u,135825,0.0340,100.00%
F_mfcr_rt,pm_cmplu_stall_st_fwd:u,1206,0.0003,100.00%
F_mfcr_rt,pm_cmplu_stall_lhs:u,0,0.0000,100.00%
F_mfcr_rt,pm_br_mpred_cmpl:u,135009,0.0338,100.00%
F_mfcr_rt,pm_br_pred_ccache:u,909,0.0002,100.00%
F_mfcr_rt,pm_br_mpred_ccache:u,194,0.0000,100.00%
F_mfcr_rt,pm_br_pred_lstack:u,1462,0.0004,100.00%
F_mfcr_rt,pm_br_mpred_lstack:u,223,0.0001,100.00%
F_mfcr_rt,pm_cmplu_stall_bru:u,991,0.0002,100.00%
F_mfcr_rt,pm_cmplu_stall_lsu:u,7683939,1.9210,100.00%
F_mfcr_rt,pm_st_fwd:u,0,0.0000,25.00%
F_mfcr_rt,pm_flush_lsu:u,47,0.0000,50.00%
F_mfcr_rt,pm_lsu_flush_lhl_shl:u,3,0.0000,75.00%
F_mfcr_rt,pm_cmplu_stall_fxu:u,57560912,14.3902,74.00%
F_mcrxrx_p9,ns_per_iter,19.059,19.059
F_mcrxrx_p9,cycles:u,323571916,80.8930,100.00%
F_mcrxrx_p9,instructions:u,155644815,38.9112,100.00%
F_mcrxrx_p9,pm_cmplu_stall:u,104636386,26.1591,100.00%
F_mcrxrx_p9,pm_cmplu_stall_exec_unit:u,96851137,24.2128,100.00%
F_mcrxrx_p9,pm_flush_mpred:u,136336,0.0341,100.00%
F_mcrxrx_p9,pm_cmplu_stall_st_fwd:u,1151,0.0003,100.00%
F_mcrxrx_p9,pm_cmplu_stall_lhs:u,17,0.0000,100.00%
F_mcrxrx_p9,pm_br_mpred_cmpl:u,135324,0.0338,100.00%
F_mcrxrx_p9,pm_br_pred_ccache:u,909,0.0002,100.00%
F_mcrxrx_p9,pm_br_mpred_ccache:u,193,0.0000,100.00%
F_mcrxrx_p9,pm_br_pred_lstack:u,1467,0.0004,100.00%
F_mcrxrx_p9,pm_br_mpred_lstack:u,226,0.0001,100.00%
F_mcrxrx_p9,pm_cmplu_stall_bru:u,1063,0.0003,100.00%
F_mcrxrx_p9,pm_cmplu_stall_lsu:u,7761529,1.9404,100.00%
F_mcrxrx_p9,pm_st_fwd:u,0,0.0000,24.00%
F_mcrxrx_p9,pm_flush_lsu:u,89,0.0000,50.00%
F_mcrxrx_p9,pm_lsu_flush_lhl_shl:u,3,0.0000,75.00%
F_mcrxrx_p9,pm_cmplu_stall_fxu:u,96489492,24.1224,75.00%
F_mfxer_chain,ns_per_iter,31.871,31.871
F_mfxer_chain,cycles:u,757404598,189.3511,100.00%
F_mfxer_chain,instructions:u,371866096,92.9665,100.00%
F_mfxer_chain,pm_cmplu_stall:u,137262789,34.3157,100.00%
F_mfxer_chain,pm_cmplu_stall_exec_unit:u,129489259,32.3723,100.00%
F_mfxer_chain,pm_flush_mpred:u,135943,0.0340,100.00%
F_mfxer_chain,pm_cmplu_stall_st_fwd:u,1263,0.0003,100.00%
F_mfxer_chain,pm_cmplu_stall_lhs:u,0,0.0000,100.00%
F_mfxer_chain,pm_br_mpred_cmpl:u,134941,0.0337,100.00%
F_mfxer_chain,pm_br_pred_ccache:u,909,0.0002,100.00%
F_mfxer_chain,pm_br_mpred_ccache:u,194,0.0000,100.00%
F_mfxer_chain,pm_br_pred_lstack:u,1463,0.0004,100.00%
F_mfxer_chain,pm_br_mpred_lstack:u,221,0.0001,100.00%
F_mfxer_chain,pm_cmplu_stall_bru:u,1051,0.0003,100.00%
F_mfxer_chain,pm_cmplu_stall_lsu:u,7710358,1.9276,100.00%
F_mfxer_chain,pm_st_fwd:u,12,0.0000,24.00%
F_mfxer_chain,pm_flush_lsu:u,31,0.0000,50.00%
F_mfxer_chain,pm_lsu_flush_lhl_shl:u,7,0.0000,75.00%
F_mfxer_chain,pm_cmplu_stall_fxu:u,129150691,32.2877,75.00%
F_mtxer_chain,ns_per_iter,9.404,9.404
F_mtxer_chain,cycles:u,417822269,104.4556,100.00%
F_mtxer_chain,instructions:u,371866067,92.9665,100.00%
F_mtxer_chain,pm_cmplu_stall:u,20228345,5.0571,100.00%
F_mtxer_chain,pm_cmplu_stall_exec_unit:u,12359353,3.0898,100.00%
F_mtxer_chain,pm_flush_mpred:u,136535,0.0341,100.00%
F_mtxer_chain,pm_cmplu_stall_st_fwd:u,1132,0.0003,100.00%
F_mtxer_chain,pm_cmplu_stall_lhs:u,29,0.0000,100.00%
F_mtxer_chain,pm_br_mpred_cmpl:u,134943,0.0337,100.00%
F_mtxer_chain,pm_br_pred_ccache:u,909,0.0002,100.00%
F_mtxer_chain,pm_br_mpred_ccache:u,186,0.0000,100.00%
F_mtxer_chain,pm_br_pred_lstack:u,1478,0.0004,100.00%
F_mtxer_chain,pm_br_mpred_lstack:u,231,0.0001,100.00%
F_mtxer_chain,pm_cmplu_stall_bru:u,931,0.0002,100.00%
F_mtxer_chain,pm_cmplu_stall_lsu:u,7722461,1.9306,100.00%
F_mtxer_chain,pm_st_fwd:u,181,0.0000,24.00%
F_mtxer_chain,pm_flush_lsu:u,13,0.0000,50.00%
F_mtxer_chain,pm_lsu_flush_lhl_shl:u,2,0.0000,75.00%
F_mtxer_chain,pm_cmplu_stall_fxu:u,12182097,3.0455,75.00%
F_srdi32,ns_per_iter,13.215,13.215
F_srdi32,cycles:u,411866119,102.9665,100.00%
F_srdi32,instructions:u,315808693,78.9522,100.00%
F_srdi32,pm_cmplu_stall:u,8568135,2.1420,100.00%
F_srdi32,pm_cmplu_stall_exec_unit:u,752837,0.1882,100.00%
F_srdi32,pm_flush_mpred:u,136021,0.0340,100.00%
